match_time,home_team,away_team,home_goals,away_goals,category
2024-03-09T14:05:00+09:00,アルビレックス新潟,名古屋グランパス,1,0,J1
2024-03-09T15:03:00+09:00,サンフレッチェ広島,サガン鳥栖,4,0,J1
2024-03-09T15:03:00+09:00,アビスパ福岡,湘南ベルマーレ,1,1,J1
2024-03-09T16:03:00+09:00,セレッソ大阪,東京ヴェルディ,2,1,J1
2024-03-09T16:03:00+09:00,ＦＣ東京,ヴィッセル神戸,1,2,J1
2024-03-09T16:03:00+09:00,川崎フロンターレ,京都サンガF.C.,0,1,J1
2024-03-10T13:03:00+09:00,ＦＣ今治,沼津,1,0,J3
2024-03-10T13:03:00+09:00,ガイナーレ鳥取,テゲバジャーロ宮崎,1,1,J3
2024-03-10T13:04:00+09:00,ベガルタ仙台,水戸ホーリーホック,1,0,J2
2024-03-10T13:08:00+09:00,北海道コンサドーレ札幌,浦和レッズ,0,1,J1
2024-03-10T14:03:00+09:00,藤枝ＭＹＦＣ,大分トリニータ,0,1,J2
2024-03-10T14:03:00+09:00,Ｖ・ファーレン長崎,清水エスパルス,4,1,J2
2024-03-10T14:03:00+09:00,ファジアーノ岡山,レノファ山口ＦＣ,1,0,J2
2024-03-10T15:03:00+09:00,愛媛ＦＣ,ロアッソ熊本,2,3,J2
2024-03-10T15:04:00+09:00,ＦＣ岐阜,カマタマーレ讃岐,4,3,J3
2024-03-10T17:04:00+09:00,ザスパ群馬,ジェフユナイテッド千葉,1,3,J2
2024-03-16T13:03:00+09:00,アビスパ福岡,ＦＣ東京,1,3,J1
2024-03-16T13:03:00+09:00,ＦＣ大阪,ＦＣ岐阜,0,0,J3
2024-03-16T14:03:00+09:00,北海道コンサドーレ札幌,ＦＣ町田ゼルビア,1,2,J1
2024-03-16T14:03:00+09:00,清水エスパルス,大分トリニータ,2,0,J2
2024-03-16T14:03:00+09:00,藤枝ＭＹＦＣ,ファジアーノ岡山,0,1,J2
2024-03-16T14:03:00+09:00,栃木,横浜ＦＣ,1,0,J2
2024-03-16T14:03:00+09:00,水戸ホーリーホック,徳島ヴォルティス,1,2,J2
2024-03-16T14:03:00+09:00,モンテディオ山形,ヴァンフォーレ甲府,0,1,J2
2024-03-16T14:03:00+09:00,ザスパ群馬,愛媛ＦＣ,0,1,J2
2024-03-16T14:03:00+09:00,ブラウブリッツ秋田,ベガルタ仙台,0,0,J2
2024-03-16T14:03:00+09:00,ＲＢ大宮アルディージャ,奈良クラブ,2,0,J3
2024-03-16T14:03:00+09:00,沼津,ギラヴァンツ北九州,1,0,J3
2024-03-16T14:03:00+09:00,テゲバジャーロ宮崎,ツエーゲン金沢,0,2,J3
2024-03-16T14:03:00+09:00,カマタマーレ讃岐,ＡＣ長野パルセイロ,1,1,J3
2024-03-16T14:03:00+09:00,YS横浜,ＦＣ今治,0,2,J3
2024-03-16T14:04:00+09:00,ヴィッセル神戸,サンフレッチェ広島,0,0,J1
2024-03-16T15:03:00+09:00,柏レイソル,名古屋グランパス,0,2,J1
2024-03-16T15:03:00+09:00,ガンバ大阪,ジュビロ磐田,2,1,J1
2024-03-16T15:03:00+09:00,鹿児島ユナイテッドＦＣ,ジェフユナイテッド千葉,4,2,J2
2024-03-16T15:05:00+09:00,サガン鳥栖,セレッソ大阪,0,2,J1
2024-03-16T16:03:00+09:00,東京ヴェルディ,アルビレックス新潟,2,2,J1
2024-03-17T13:03:00+09:00,ロアッソ熊本,いわきＦＣ,0,6,J2
2024-03-17T13:03:00+09:00,ヴァンラーレ八戸,カターレ富山,2,0,J3
2024-03-17T13:18:00+09:00,レノファ山口ＦＣ,Ｖ・ファーレン長崎,0,1,J2
2024-03-17T14:03:00+09:00,京都サンガF.C.,横浜Ｆ・マリノス,2,3,J1
2024-03-17T14:03:00+09:00,岩手,ガイナーレ鳥取,1,3,J3
2024-03-17T14:03:00+09:00,福島ユナイテッドＦＣ,松本山雅ＦＣ,1,0,J3
2024-03-17T14:03:00+09:00,ＳＣ相模原,ＦＣ琉球,0,0,J3
2024-03-17T15:03:00+09:00,湘南ベルマーレ,浦和レッズ,4,4,J1
2024-03-17T15:03:00+09:00,鹿島アントラーズ,川崎フロンターレ,2,1,J1
2024-03-20T13:03:00+09:00,ＦＣ今治,ＦＣ岐阜,0,2,J3
2024-03-20T13:03:00+09:00,ガイナーレ鳥取,カマタマーレ讃岐,1,1,J3
2024-03-20T14:03:00+09:00,横浜ＦＣ,ザスパ群馬,1,0,J2
2024-03-20T14:03:00+09:00,大分トリニータ,鹿児島ユナイテッドＦＣ,3,0,J2
2024-03-20T14:03:00+09:00,ブラウブリッツ秋田,栃木,3,0,J2
2024-03-20T14:03:00+09:00,ジェフユナイテッド千葉,清水エスパルス,1,3,J2
2024-03-20T14:03:00+09:00,ベガルタ仙台,ロアッソ熊本,0,0,J2
2024-03-20T14:03:00+09:00,ヴァンフォーレ甲府,いわきＦＣ,1,1,J2
2024-03-20T14:03:00+09:00,モンテディオ山形,藤枝ＭＹＦＣ,0,1,J2
2024-03-20T14:03:00+09:00,ファジアーノ岡山,水戸ホーリーホック,1,0,J2
2024-03-20T14:03:00+09:00,松本山雅ＦＣ,岩手,1,0,J3
2024-03-20T14:03:00+09:00,カターレ富山,ツエーゲン金沢,1,0,J3
2024-03-20T14:03:00+09:00,ギラヴァンツ北九州,ＦＣ大阪,0,0,J3
2024-03-20T14:03:00+09:00,奈良クラブ,ヴァンラーレ八戸,1,0,J3
2024-03-20T14:03:00+09:00,テゲバジャーロ宮崎,沼津,1,1,J3
2024-03-20T14:03:00+09:00,ＡＣ長野パルセイロ,福島ユナイテッドＦＣ,2,1,J3
2024-03-20T15:03:00+09:00,愛媛ＦＣ,Ｖ・ファーレン長崎,1,2,J2
2024-03-20T15:03:00+09:00,ＦＣ琉球,YS横浜,2,1,J3
2024-03-20T15:54:00+09:00,徳島ヴォルティス,レノファ山口ＦＣ,1,2,J2
2024-03-20T18:03:00+09:00,ＳＣ相模原,ＲＢ大宮アルディージャ,1,1,J3
2024-03-23T13:04:00+09:00,ＦＣ大阪,松本山雅ＦＣ,0,0,J3
2024-03-23T14:03:00+09:00,ＲＢ大宮アルディージャ,テゲバジャーロ宮崎,3,1,J3
2024-03-24T13:03:00+09:00,ヴァンラーレ八戸,ＡＣ長野パルセイロ,1,1,J3
2024-03-24T13:03:00+09:00,ＦＣ今治,ギラヴァンツ北九州,0,1,J3
2024-03-24T14:03:00+09:00,レノファ山口ＦＣ,愛媛ＦＣ,1,1,J2
2024-03-24T14:03:00+09:00,鹿児島ユナイテッドＦＣ,横浜ＦＣ,0,4,J2
2024-03-24T14:03:00+09:00,いわきＦＣ,モンテディオ山形,0,0,J2
2024-03-24T14:03:00+09:00,栃木,大分トリニータ,2,1,J2
2024-03-24T14:03:00+09:00,藤枝ＭＹＦＣ,ロアッソ熊本,2,1,J2
2024-03-24T14:03:00+09:00,Ｖ・ファーレン長崎,ヴァンフォーレ甲府,1,1,J2
2024-03-24T14:03:00+09:00,水戸ホーリーホック,ジェフユナイテッド千葉,0,0,J2
2024-03-24T14:03:00+09:00,清水エスパルス,ブラウブリッツ秋田,1,0,J2
2024-03-24T14:03:00+09:00,ベガルタ仙台,徳島ヴォルティス,0,0,J2
2024-03-24T14:03:00+09:00,沼津,ＦＣ琉球,2,1,J3
2024-03-24T14:03:00+09:00,福島ユナイテッドＦＣ,カターレ富山,0,0,J3
2024-03-24T14:03:00+09:00,YS横浜,ガイナーレ鳥取,1,1,J3
2024-03-24T14:03:00+09:00,カマタマーレ讃岐,奈良クラブ,1,1,J3
2024-03-24T14:04:00+09:00,ツエーゲン金沢,ＳＣ相模原,1,0,J3
2024-03-24T15:03:00+09:00,ＦＣ岐阜,岩手,3,1,J3
2024-03-24T17:03:00+09:00,ザスパ群馬,ファジアーノ岡山,1,2,J2
2024-03-29T19:03:00+09:00,東京ヴェルディ,京都サンガF.C.,2,2,J1
2024-03-30T13:03:00+09:00,サンフレッチェ広島,ガンバ大阪,1,1,J1
2024-03-30T13:03:00+09:00,ヴァンフォーレ甲府,レノファ山口ＦＣ,0,2,J2
2024-03-30T13:03:00+09:00,ＦＣ大阪,ＦＣ今治,0,0,J3
2024-03-30T13:03:00+09:00,ＳＣ相模原,カマタマーレ讃岐,2,1,J3
2024-03-30T14:03:00+09:00,アルビレックス新潟,柏レイソル,1,1,J1
2024-03-30T14:03:00+09:00,ヴィッセル神戸,北海道コンサドーレ札幌,6,1,J1
2024-03-30T14:03:00+09:00,横浜ＦＣ,ベガルタ仙台,1,2,J2
2024-03-30T14:03:00+09:00,大分トリニータ,ファジアーノ岡山,0,0,J2
2024-03-30T14:03:00+09:00,ブラウブリッツ秋田,いわきＦＣ,1,0,J2
2024-03-30T14:03:00+09:00,徳島ヴォルティス,ザスパ群馬,0,1,J2
2024-03-30T14:03:00+09:00,水戸ホーリーホック,鹿児島ユナイテッドＦＣ,0,0,J2
2024-03-30T14:03:00+09:00,モンテディオ山形,清水エスパルス,2,0,J2
2024-03-30T14:03:00+09:00,ＡＣ長野パルセイロ,沼津,3,1,J3
2024-03-30T15:03:00+09:00,ＦＣ町田ゼルビア,サガン鳥栖,3,1,J1
2024-03-30T15:03:00+09:00,鹿島アントラーズ,ジュビロ磐田,1,0,J1
2024-03-30T15:03:00+09:00,浦和レッズ,アビスパ福岡,2,1,J1
2024-03-30T15:03:00+09:00,川崎フロンターレ,ＦＣ東京,3,0,J1
2024-03-30T15:03:00+09:00,ロアッソ熊本,ジェフユナイテッド千葉,1,0,J2
2024-03-30T16:03:00+09:00,セレッソ大阪,湘南ベルマーレ,2,0,J1
2024-03-30T16:03:00+09:00,名古屋グランパス,横浜Ｆ・マリノス,2,1,J1
2024-03-30T16:03:00+09:00,愛媛ＦＣ,藤枝ＭＹＦＣ,3,0,J2
2024-03-30T16:03:00+09:00,ＦＣ琉球,カターレ富山,3,1,J3
2024-03-30T18:03:00+09:00,栃木,Ｖ・ファーレン長崎,1,1,J2
2024-03-31T13:03:00+09:00,ガイナーレ鳥取,ヴァンラーレ八戸,0,0,J3
2024-03-31T14:03:00+09:00,岩手,テゲバジャーロ宮崎,1,0,J3
2024-03-31T14:03:00+09:00,福島ユナイテッドＦＣ,YS横浜,0,1,J3
2024-03-31T14:03:00+09:00,松本山雅ＦＣ,ＦＣ岐阜,1,2,J3
2024-03-31T14:03:00+09:00,奈良クラブ,ツエーゲン金沢,3,3,J3
2024-03-31T14:03:00+09:00,ギラヴァンツ北九州,ＲＢ大宮アルディージャ,1,1,J3
2024-04-03T19:03:00+09:00,ＦＣ町田ゼルビア,サンフレッチェ広島,1,2,J1
2024-04-03T19:03:00+09:00,ガンバ大阪,京都サンガF.C.,0,0,J1
2024-04-03T19:03:00+09:00,柏レイソル,セレッソ大阪,1,1,J1
